# n_row: 16
# col                       real                       imag
    0    -1.4757503103667389E-02    -2.1930970696752445E-04
    1    -7.7947173416918606E-05     5.1658984058068939E-04
    2     2.0553383892394032E-03    -2.8240445745618763E-03
    3     3.2774855303574033E-02     5.7260595218347830E-02
    4    -6.4986189232348068E-01     2.6930089375778138E-01
    5     1.3878252512814968E-02     1.8320456340784420E-02
    6     1.7080452595676654E-03    -9.9769931895613592E-04
    7    -3.4220752094000634E-02     2.5182577342103468E-02
    8    -1.8703184390752442E-04     2.8190686519175372E-02
    9     4.1536322376908890E-04     3.6354657415551731E-04
   10     1.9195040271821291E-02     2.3838002766866356E-02
   11    -2.6741791217499750E-01    -6.5068049453274079E-01
   12     3.1912159534624583E-02    -1.7940666551136710E-02
   13    -2.1543658948536942E-06     3.2719590755082659E-03
   14     1.6155215310094457E-04     8.0087364123043975E-04
   15    -7.5025462834796383E-04    -1.5953320787127377E-02
