#                  time                       real
 1.5625000000000000E-02    -1.8714457756244366E-03
 4.6875000000000000E-02    -5.0288698203031206E-03
 7.8125000000000000E-02    -7.4140374444810302E-03
 1.0937500000000000E-01    -9.0260960477975948E-03
 1.4062500000000000E-01    -9.8537338053941541E-03
 1.7187500000000000E-01    -9.8779412532659042E-03
 2.0312500000000000E-01    -9.0752460448042596E-03
 2.3437500000000000E-01    -7.4212663309029528E-03
 2.6562500000000000E-01    -4.8944160805421870E-03
 2.9687500000000000E-01    -1.4795903855440357E-03
 3.2812500000000000E-01     2.8283395100681969E-03
 3.5937500000000000E-01     8.0213831841257806E-03
 3.9062500000000000E-01     1.4075786740560080E-02
 4.2187500000000000E-01     2.0950013081160734E-02
 4.5312500000000000E-01     2.8583446588492108E-02
 4.8437500000000000E-01     3.6895891937202413E-02
 5.1562500000000000E-01     4.5787903632460714E-02
 5.4687500000000000E-01     5.5141948049036500E-02
 5.7812500000000000E-01     6.4824364609227469E-02
 6.0937500000000000E-01     7.4688058755766729E-02
 6.4062500000000000E-01     8.4575828020381688E-02
 6.7187500000000000E-01     9.4324195175766512E-02
 7.0312500000000000E-01     1.0376760047147249E-01
 7.3437500000000000E-01     1.1274278936496297E-01
 7.6562500000000000E-01     1.2109322375559753E-01
 7.9687500000000000E-01     1.2867334395282859E-01
 8.2812500000000000E-01     1.3535251551229782E-01
 8.5937500000000000E-01     1.4101850929999174E-01
 8.9062500000000000E-01     1.4558038394562273E-01
 9.2187500000000000E-01     1.4897066611988780E-01
 9.5312500000000000E-01     1.5114675443154008E-01
 9.8437500000000000E-01     1.5209150561385887E-01
 1.0156250000000000E+00     1.5195224134630794E-01
 1.0468750000000000E+00     1.5157434793495767E-01
 1.0781250000000000E+00     1.5108272724218474E-01
 1.1093750000000000E+00     1.5046089509477278E-01
 1.1406250000000000E+00     1.4969236590761067E-01
 1.1718750000000000E+00     1.4876065184719683E-01
 1.2031250000000000E+00     1.4764926189294350E-01
 1.2343750000000000E+00     1.4634170079740114E-01
 1.2656250000000000E+00     1.4482146794850492E-01
 1.2968750000000000E+00     1.4307205613911769E-01
 1.3281250000000000E+00     1.4107695025146785E-01
 1.3593750000000000E+00     1.3881962586657109E-01
 1.3906250000000000E+00     1.3628354781136298E-01
 1.4218750000000000E+00     1.3345216865902862E-01
 1.4531250000000000E+00     1.3030892720093507E-01
 1.4843750000000000E+00     1.2683724691158910E-01
 1.5156250000000000E+00     1.2302053443120120E-01
 1.5468750000000000E+00     1.1884217809371969E-01
 1.5781250000000000E+00     1.1428554653161802E-01
 1.6093750000000000E+00     1.0933398739227615E-01
 1.6406250000000000E+00     1.0397082620453471E-01
 1.6718750000000000E+00     9.8179430488491273E-02
 1.7031250000000000E+00     9.1965196150686657E-02
 1.7343750000000000E+00     8.5387552298275410E-02
 1.7656250000000000E+00     7.8514036994911995E-02
 1.7968750000000000E+00     7.1412168803236392E-02
 1.8281250000000000E+00     6.4149450221695825E-02
 1.8593750000000000E+00     5.6793371515662917E-02
 1.8906250000000000E+00     4.9411414877130161E-02
 1.9218750000000000E+00     4.2071058839498986E-02
 1.9531250000000000E+00     3.4839782867823715E-02
 1.9843750000000000E+00     2.7785072040236038E-02
 2.0156250000000000E+00     2.0974421733134203E-02
 2.0468750000000000E+00     1.4475342221039774E-02
 2.0781250000000000E+00     8.3553631018535544E-03
 2.1093750000000000E+00     2.6820374596141197E-03
 2.1406250000000000E+00    -2.4770543201047789E-03
 2.1718750000000000E+00    -7.0543011622376216E-03
