#                  time                       real
 3.1268749999999998E-02    -3.1135173555806402E-04
 9.3806249999999994E-02    -6.4721011101650963E-04
 1.5634375000000000E-01    -5.6301787471559853E-04
 2.1888124999999997E-01     1.4197945510080928E-05
 2.8141875000000000E-01     1.1706557967118747E-03
 3.4395625000000002E-01     2.9806140858009665E-03
 4.0649374999999999E-01     5.4804411212372988E-03
 4.6903124999999996E-01     8.6466806556539499E-03
 5.3156874999999992E-01     1.2382269189375196E-02
 5.9410624999999995E-01     1.6513796113241101E-02
 6.5664374999999997E-01     2.0800929593108607E-02
 7.1918124999999988E-01     2.4957145602996909E-02
 7.8171874999999991E-01     2.8679025774486035E-02
 8.4425624999999993E-01     3.1679952384448075E-02
 9.0679374999999984E-01     3.3723275700754000E-02
 9.6933124999999987E-01     3.4650087909758286E-02
 1.0318687499999999E+00     3.4552090357402476E-02
 1.0944062499999998E+00     3.4326562384116431E-02
 1.1569437499999999E+00     3.4116153227018664E-02
 1.2194812499999999E+00     3.3918604409921033E-02
 1.2820187500000000E+00     3.3731592152850293E-02
 1.3445562499999999E+00     3.3552720233643349E-02
 1.4070937499999998E+00     3.3379514255543578E-02
 1.4696312499999999E+00     3.3209417330005458E-02
 1.5321687499999999E+00     3.3039787169220507E-02
 1.5947062499999998E+00     3.2867894570545758E-02
 1.6572437499999999E+00     3.2690923265113532E-02
 1.7197812499999998E+00     3.2505971095314654E-02
 1.7823187499999997E+00     3.2310052480308604E-02
 1.8448562499999999E+00     3.2100102124832032E-02
 1.9073937499999998E+00     3.1872979923886637E-02
 1.9699312499999999E+00     3.1625477013913189E-02
 2.0324687500000000E+00     3.1354322919326341E-02
 2.0950062500000000E+00     3.1056193741390955E-02
 2.1575437499999999E+00     3.0727721334075628E-02
 2.2200812500000002E+00     3.0365503408541987E-02
 2.2826187500000001E+00     2.9966114504330225E-02
 2.3451562500000001E+00     2.9526117761247972E-02
 2.4076937500000000E+00     2.9042077421829123E-02
 2.4702312499999999E+00     2.8510571990542983E-02
 2.5327687500000002E+00     2.7928207973413725E-02
 2.5953062500000001E+00     2.7291634121204607E-02
 2.6578437500000001E+00     2.6597556101762773E-02
 2.7203812500000000E+00     2.5842751533493399E-02
 2.7829187499999999E+00     2.5024085323160999E-02
 2.8454562499999998E+00     2.4138525268131907E-02
 2.9079937500000002E+00     2.3183157906372372E-02
 2.9705312500000001E+00     2.2155204627294599E-02
 3.0330687500000000E+00     2.1052038092753481E-02
 3.0956062499999999E+00     1.9871199059450562E-02
 3.1581437499999998E+00     1.8610413740317366E-02
 3.2206812500000002E+00     1.7267611890927414E-02
 3.2832187500000001E+00     1.5840945854428159E-02
 3.3457562500000000E+00     1.4328814342197391E-02
 3.4082937499999999E+00     1.2731067812613812E-02
 3.4708312499999998E+00     1.1050751460966389E-02
 3.5333687499999997E+00     9.2916425589877078E-03
 3.5959062500000001E+00     7.4578122242917131E-03
 3.6584437500000000E+00     5.5536222393678192E-03
 3.7209812499999999E+00     3.5837198742339933E-03
 3.7835187499999998E+00     1.5530299471515196E-03
 3.8460562499999997E+00    -5.3325683456977306E-04
 3.9085937500000001E+00    -2.6697003594850022E-03
 3.9711312500000000E+00    -4.8506336133430873E-03
 4.0336687499999995E+00    -7.0701923914124566E-03
 4.0962062499999998E+00    -9.3223533227943262E-03
 4.1587437499999993E+00    -1.1600981103300269E-02
 4.2212812499999997E+00    -1.3899885509865720E-02
 4.2838187499999991E+00    -1.6212888325353988E-02
 4.3463562499999995E+00    -1.8533899745819010E-02
 4.4088937499999998E+00    -2.0857003191674633E-02
 4.4714312499999993E+00    -2.3176546730879186E-02
 4.5339687499999997E+00    -2.5487238589806810E-02
 4.5965062499999991E+00    -2.7784243531018903E-02
 4.6590437499999995E+00    -3.0063276280428691E-02
 4.7215812499999998E+00    -3.2320687757375191E-02
 4.7841187499999993E+00    -3.4553539666056864E-02
 4.8466562499999997E+00    -3.6759663102716549E-02
 4.9091937499999991E+00    -3.8937697260338647E-02
 4.9717312499999995E+00    -4.1087105088092206E-02
 5.0342687499999998E+00    -4.3208587736214131E-02
 5.0968062499999993E+00    -4.5313373801128709E-02
 5.1593437499999997E+00    -4.7423145201730660E-02
 5.2218812499999991E+00    -4.9560594059409317E-02
 5.2844187499999995E+00    -5.1748860683241339E-02
 5.3469562499999990E+00    -5.4011397352681699E-02
 5.4094937499999993E+00    -5.6371840734306872E-02
 5.4720312499999997E+00    -5.8853897852908871E-02
 5.5345687499999991E+00    -6.1481249187204941E-02
 5.5971062499999995E+00    -6.4277471043766160E-02
 5.6596437499999990E+00    -6.7265977994430515E-02
 5.7221812499999993E+00    -7.0469984929491913E-02
 5.7847187499999997E+00    -7.3912487238309427E-02
 5.8472562499999992E+00    -7.7616256809513465E-02
 5.9097937499999995E+00    -8.1603850950614440E-02
 5.9723312499999990E+00    -8.5897630951187881E-02
 6.0348687499999993E+00    -9.0519786835318805E-02
 6.0974062499999997E+00    -9.5492364844981276E-02
 6.1599437499999992E+00    -1.0083729434546750E-01
 6.2224812499999995E+00    -1.0657641113001953E-01
 6.2850187499999990E+00    -1.1273147451158244E-01
 6.3475562499999993E+00    -1.1932417611669952E-01
 6.4100937499999997E+00    -1.2637613893272556E-01
 6.4726312499999992E+00    -1.3390890589490068E-01
 6.5351687499999995E+00    -1.4194391811861984E-01
 6.5977062499999990E+00    -1.5050248376002251E-01
 6.6602437499999994E+00    -1.5960573939020259E-01
 6.7227812499999997E+00    -1.6926203174555998E-01
 6.7853187499999992E+00    -1.7939585131725583E-01
 6.8478562499999995E+00    -1.8989729612930484E-01
 6.9103937499999990E+00    -2.0065606338412817E-01
 6.9729312499999994E+00    -2.1156155562057877E-01
 7.0354687499999988E+00    -2.2250290045911855E-01
