#                  time                       real
 3.1268749999999998E-02     2.8105376234881414E-03
 9.3806249999999994E-02     8.2980717393405651E-03
 1.5634375000000000E-01     1.3598351673746709E-02
 2.1888124999999997E-01     1.8689153076152348E-02
 2.8141875000000000E-01     2.3547663342573993E-02
 3.4395625000000002E-01     2.8164282975185861E-02
 4.0649374999999999E-01     3.2554039097875263E-02
 4.6903124999999996E-01     3.6763251777969790E-02
 5.3156874999999992E-01     4.0870017641350634E-02
 5.9410624999999995E-01     4.4978239242789736E-02
 6.5664374999999997E-01     4.9206119305715362E-02
 7.1918124999999988E-01     5.3671039604413537E-02
 7.8171874999999991E-01     5.8473379141053640E-02
 8.4425624999999993E-01     6.3681995970575583E-02
 9.0679374999999984E-01     6.9323794298656816E-02
 9.6933124999999987E-01     7.5379100301482024E-02
 1.0318687499999999E+00     8.1745253400081971E-02
 1.0944062499999998E+00     8.8143715659757399E-02
 1.1569437499999999E+00     9.4533715200248586E-02
 1.2194812499999999E+00     1.0091372259549768E-01
 1.2820187500000000E+00     1.0728196717100592E-01
 1.3445562499999999E+00     1.1363641256177656E-01
 1.4070937499999998E+00     1.1997473334845526E-01
 1.4696312499999999E+00     1.2629429293302058E-01
 1.5321687499999999E+00     1.3259212282324176E-01
 1.5947062499999998E+00     1.3886490350306163E-01
 1.6572437499999999E+00     1.4510894707462682E-01
 1.7197812499999998E+00     1.5132018186744001E-01
 1.7823187499999997E+00     1.5749413922170385E-01
 1.8448562499999999E+00     1.6362594266690586E-01
 1.9073937499999998E+00     1.6971029973346596E-01
 1.9699312499999999E+00     1.7574149665533734E-01
 2.0324687500000000E+00     1.8171339624502136E-01
 2.0950062500000000E+00     1.8761943924954677E-01
 2.1575437499999999E+00     1.9345264952663954E-01
 2.2200812500000002E+00     1.9920564341391417E-01
 2.2826187500000001E+00     2.0487064369995733E-01
 2.3451562500000001E+00     2.1043949864336259E-01
 2.4076937500000000E+00     2.1590370652260607E-01
 2.4702312499999999E+00     2.2125444623397411E-01
 2.5327687500000002E+00     2.2648261448389437E-01
 2.5953062500000001E+00     2.3157887014276099E-01
 2.6578437500000001E+00     2.3653368633566618E-01
 2.7203812500000000E+00     2.4133741083712934E-01
 2.7829187499999999E+00     2.4598033530683322E-01
 2.8454562499999998E+00     2.5045277384651310E-01
 2.9079937500000002E+00     2.5474515126904551E-01
 2.9705312500000001E+00     2.5884810134438513E-01
 3.0330687500000000E+00     2.6275257511853561E-01
 3.0956062499999999E+00     2.6644995918760683E-01
 3.1581437499999998E+00     2.6993220354656172E-01
 3.2206812500000002E+00     2.7319195832090193E-01
 3.2832187500000001E+00     2.7622271833070933E-01
 3.3457562500000000E+00     2.7901897403405401E-01
 3.4082937499999999E+00     2.8157636695776411E-01
 3.4708312499999998E+00     2.8389184725755956E-01
 3.5333687499999997E+00     2.8596383056958913E-01
 3.5959062500000001E+00     2.8779235083708221E-01
 3.6584437500000000E+00     2.8937920533742489E-01
 3.7209812499999999E+00     2.9072808771670022E-01
 3.7835187499999998E+00     2.9184470448221628E-01
 3.8460562499999997E+00     2.9273687013072336E-01
 3.9085937500000001E+00     2.9341457592248804E-01
 3.9711312500000000E+00     2.9389002726933500E-01
 4.0336687499999995E+00     2.9417764480591729E-01
 4.0962062499999998E+00     2.9429402447269659E-01
 4.1587437499999993E+00     2.9425785236717167E-01
 4.2212812499999997E+00     2.9408977072377607E-01
 4.2838187499999991E+00     2.9381219216481014E-01
 4.3463562499999995E+00     2.9344906032302159E-01
 4.4088937499999998E+00     2.9302555606472774E-01
 4.4714312499999993E+00     2.9256774983076550E-01
