 iter    JT            dJT           ga_int        dt
    0    0.86276176           n/a           n/a    0.69
    1    0.61867329    0.24408848    0.21270026    1.50
    2    0.38339479    0.23527850    0.20601817    1.53
    3    0.24160926    0.14178552    0.16344196    1.39
    4    0.16004369    0.08156557    0.11914277    1.38
    5    0.10808353    0.05196017    0.08901558    1.37
    6    0.07244907    0.03563446    0.07136149    1.36
    7    0.04979430    0.02265476    0.05766068    1.40
    8    0.03559390    0.01420040    0.04502722    1.37
    9    0.02703214    0.00856176    0.03580845    1.40
   10    0.02161250    0.00541963    0.02865818    1.36
   11    0.01812070    0.00349180    0.02315756    1.35
   12    0.01565891    0.00246179    0.01956765    1.34
   13    0.01388561    0.00177330    0.01650524    1.36
   14    0.01247720    0.00140841    0.01468629    1.40
   15    0.01135876    0.00111844    0.01289630    1.34
   16    0.01038945    0.00096931    0.01222979    1.33
   17    0.00956719    0.00082227    0.01090227    1.33
stop condition met (JT_iter[-1] < 0.01: True, ¦¤JT < 1e-07: False), break
