# n_row: 16
# col                       real                       imag
    0    -5.9068506507071112E-05    -4.8160356354802186E-05
    1     3.7309133146427447E-04     1.7904364605827658E-04
    2    -4.0313674107018055E-05    -7.1769589225445369E-05
    3     6.1244948640593809E-09    -4.3140926377635040E-08
    4     9.3941185444513262E-05     1.0377914477914231E-04
    5    -9.7248364237058701E-05     1.4770408975484534E-04
    6    -4.5755659195618731E-01    -5.3947258977182677E-01
    7     6.3344401052977653E-04    -5.7648588205362802E-05
    8     3.8097942154759678E-04     4.2666648337874141E-04
    9    -5.3905254818756665E-01     4.5720065973352736E-01
   10     1.0518913230133305E-04     1.1826645716818812E-04
   11     1.0350893571148293E-04    -9.3740593026976952E-05
   12     9.0812571217726887E-09     1.2835474778101813E-07
   13    -7.1748132676784359E-05     4.0345026906483769E-05
   14     7.1498532146991402E-05    -4.1033736319899490E-04
   15    -4.7521573376895017E-05     5.9386516727872361E-05
