 iter    JT            dJT           ga_int        dt
    0    0.95615202           n/a           n/a    0.71
    1    0.93615189    0.02000012    0.04902234    1.39
    2    0.91307746    0.02307444    0.05115257    1.41
    3    0.88768679    0.02539066    0.05178976    1.42
    4    0.85885198    0.02883481    0.05334271    1.44
    5    0.82385813    0.03499385    0.05831437    1.43
    6    0.77927010    0.04458803    0.06571256    1.41
    7    0.72109227    0.05817783    0.07467555    1.41
    8    0.64518170    0.07591057    0.08423273    1.46
    9    0.55023861    0.09494309    0.09275879    1.45
   10    0.44396943    0.10626918    0.09683056    1.44
   11    0.34462579    0.09934363    0.09238626    1.43
   12    0.26769060    0.07693519    0.08001873    1.40
   13    0.21394105    0.05374955    0.06517833    1.36
   14    0.17613203    0.03780902    0.05369087    1.37
   15    0.14792589    0.02820614    0.04651957    1.39
   16    0.12562851    0.02229738    0.04194647    1.46
   17    0.10729441    0.01833410    0.03843781    1.42
   18    0.09189982    0.01539459    0.03566688    1.40
   19    0.07886183    0.01303799    0.03321693    1.47
   20    0.06779657    0.01106525    0.03088856    1.40
   21    0.05840959    0.00938699    0.02866388    1.47
   22    0.05045392    0.00795566    0.02655297    1.44
   23    0.04371488    0.00673904    0.02456639    1.43
   24    0.03800582    0.00570906    0.02271029    1.41
   25    0.03316541    0.00484041    0.02098605    1.40
   26    0.02905600    0.00410940    0.01939109    1.44
   27    0.02556086    0.00349514    0.01792181    1.40
   28    0.02258190    0.00297896    0.01657117    1.37
   29    0.02003683    0.00254507    0.01533244    1.35
   30    0.01785701    0.00217982    0.01419658    1.34
   31    0.01598508    0.00187193    0.01315574    1.38
   32    0.01437328    0.00161180    0.01220257    1.44
   33    0.01298168    0.00139160    0.01133068    1.50
   34    0.01177698    0.00120470    0.01053189    1.39
   35    0.01073128    0.00104571    0.00980086    1.50
   36    0.00982119    0.00091009    0.00912959    1.47
stop condition met (JT_iter[-1] < 0.01: True, ¦¤JT < 1e-07: False), break
