# n_row: 16
# col                       real                       imag
    0    -2.4099074752526350E-01    -2.1097946352624383E-01
    1    -2.0556927768743297E-02    -2.5191224861022676E-01
    2    -6.6771217867149776E-02     2.0699382336681868E-01
    3     5.9475682416965632E-03     2.7408669239778821E-01
    4    -2.5532355534406109E-01    -8.5135326982963000E-02
    5    -1.0095208149865793E-01    -1.8316358018864543E-01
    6    -1.8500733021689653E-01    -3.1801744449571290E-02
    7    -2.3887614461847601E-01     3.1166306859688984E-02
    8     1.8114317410294911E-01     1.1688578249250745E-01
    9     4.9379353475934709E-02     1.7547056396284888E-01
   10     7.6824909350229717E-02    -2.1765172454398449E-01
   11     1.9441914646345832E-02    -2.7554278496890522E-01
   12     4.9415704451244956E-02    -2.6489089698346707E-01
   13     1.8009905692686684E-01    -1.3975766678298021E-01
   14     9.7665638468944840E-02    -2.4401473731311363E-01
   15     3.4573348456166178E-02    -3.1221925744831291E-01
