# n_row: 16
# col                       real                       imag
    0     3.9364598259463007E-02    -3.7884981889481656E-01
    1    -1.3189914482842596E-01    -2.7283428050775372E-02
    2     5.4609016219980919E-02    -1.3954250328157569E-01
    3    -5.5324328931628489E-02     3.9625731574586792E-01
    4     8.0940707259028993E-02     2.6401322330932819E-01
    5     9.7643318834225279E-02    -2.0633951069093465E-02
    6     2.3398869883074415E-02    -9.0682692093978973E-02
    7    -9.7021833288201971E-04     2.4502557021669791E-01
    8     2.3817052001082298E-01    -2.8933791737737247E-02
    9    -4.3490565509947494E-03    -9.6155121811413544E-02
   10     1.0610674624601213E-01     1.6348370094523050E-02
   11    -2.6094588642184574E-01     4.8218532379908939E-02
   12     3.6538598984714482E-01    -1.5125678942126433E-01
   13    -4.4810556696327219E-02    -1.5533487743780780E-01
   14    -1.4738096928332206E-01    -3.0922810578961908E-02
   15     3.7629712372355106E-01    -6.0438151166249780E-02
