 iter    JT            dJT           ga_int        dt
  127    0.07678579    0.00118634    0.00846875    1.68
  128    0.07563077    0.00115502    0.00836385    1.87
  129    0.07450604    0.00112474    0.00826104    1.88
  130    0.07341058    0.00109546    0.00816026    1.84
  131    0.07234342    0.00106715    0.00806144    1.86
  132    0.07130365    0.00103978    0.00796451    1.91
  133    0.07029035    0.00101329    0.00786936    1.74
  134    0.06930268    0.00098768    0.00777609    1.79
  135    0.06833978    0.00096289    0.00768457    1.87
  136    0.06740088    0.00093891    0.00759473    1.78
  137    0.06648518    0.00091570    0.00750656    1.85
  138    0.06559195    0.00089323    0.00742010    1.78
  139    0.06472047    0.00087148    0.00733523    1.91
  140    0.06387004    0.00085042    0.00725199    2.03
  141    0.06304001    0.00083003    0.00717038    1.98
  142    0.06222972    0.00081029    0.00709045    2.09
  143    0.06143856    0.00079116    0.00701224    1.86
  144    0.06066592    0.00077264    0.00693571    1.44
  145    0.05991123    0.00075469    0.00686078    1.45
  146    0.05917393    0.00073730    0.00678724    1.47
  147    0.05845349    0.00072044    0.00671511    1.50
  148    0.05774938    0.00070411    0.00664427    1.52
  149    0.05706111    0.00068827    0.00657484    1.61
  150    0.05638818    0.00067292    0.00650668    1.54
  151    0.05573014    0.00065804    0.00643979    1.50
  152    0.05508653    0.00064361    0.00637419    1.57
  153    0.05445692    0.00062961    0.00630998    1.62
  154    0.05384089    0.00061603    0.00624704    1.53
  155    0.05323802    0.00060286    0.00618516    1.62
  156    0.05264794    0.00059008    0.00612441    1.57
  157    0.05207025    0.00057768    0.00606472    1.54
  158    0.05150460    0.00056565    0.00600601    1.66
  159    0.05095063    0.00055397    0.00594829    1.64
  160    0.05040800    0.00054263    0.00589156    1.78
  161    0.04987638    0.00053162    0.00583581    1.64
  162    0.04935544    0.00052093    0.00578102    1.58
  163    0.04884489    0.00051055    0.00572713    1.72
  164    0.04834442    0.00050047    0.00567421    1.59
  165    0.04785374    0.00049068    0.00562217    1.67
  166    0.04737258    0.00048116    0.00557100    1.96
  167    0.04690066    0.00047192    0.00552067    2.23
  168    0.04643773    0.00046293    0.00547124    2.19
  169    0.04598354    0.00045420    0.00542277    2.29
  170    0.04553783    0.00044571    0.00537517    2.27
  171    0.04510038    0.00043745    0.00532848    2.39
  172    0.04467095    0.00042943    0.00528261    2.36
  173    0.04424932    0.00042162    0.00523750    2.42
  174    0.04383529    0.00041403    0.00519315    2.35
  175    0.04342864    0.00040665    0.00514961    2.40
  176    0.04302917    0.00039947    0.00510677    2.39
  177    0.04263670    0.00039248    0.00506472    2.35
  178    0.04225103    0.00038567    0.00502342    2.43
  179    0.04187198    0.00037905    0.00498287    2.37
  180    0.04149937    0.00037260    0.00494304    2.38
  181    0.04113304    0.00036633    0.00490389    2.36
  182    0.04077283    0.00036022    0.00486541    2.39
  183    0.04041856    0.00035426    0.00482755    2.33
  184    0.04007010    0.00034847    0.00479032    2.39
  185    0.03972728    0.00034282    0.00475372    2.36
  186    0.03938996    0.00033732    0.00471784    2.37
  187    0.03905801    0.00033195    0.00468265    2.39
  188    0.03873129    0.00032673    0.00464811    2.39
  189    0.03840966    0.00032163    0.00461420    2.37
  190    0.03809299    0.00031666    0.00458092    2.37
  191    0.03778117    0.00031182    0.00454823    2.42
  192    0.03747408    0.00030709    0.00451615    2.38
  193    0.03717159    0.00030249    0.00448468    2.37
  194    0.03687360    0.00029799    0.00445369    2.38
  195    0.03657999    0.00029361    0.00442315    2.37
  196    0.03629067    0.00028933    0.00439312    2.39
  197    0.03600552    0.00028515    0.00436358    2.41
  198    0.03572445    0.00028107    0.00433447    2.38
  199    0.03544736    0.00027709    0.00430583    2.21
  200    0.03517415    0.00027320    0.00427763    2.26
  201    0.03490475    0.00026941    0.00424985    2.42
  202    0.03463905    0.00026570    0.00422255    2.18
  203    0.03437697    0.00026208    0.00419564    2.18
  204    0.03411843    0.00025854    0.00416914    2.24
  205    0.03386335    0.00025508    0.00414306    1.99
  206    0.03361166    0.00025170    0.00411737    2.08
  207    0.03336326    0.00024839    0.00409204    2.09
  208    0.03311810    0.00024516    0.00406708    2.17
  209    0.03287610    0.00024200    0.00404248    2.18
  210    0.03263719    0.00023891    0.00401824    2.42
  211    0.03240129    0.00023589    0.00399435    2.43
  212    0.03216836    0.00023293    0.00397080    2.44
  213    0.03193832    0.00023004    0.00394757    2.35
  214    0.03171111    0.00022721    0.00392469    2.40
  215    0.03148667    0.00022444    0.00390211    2.37
  216    0.03126494    0.00022173    0.00387982    2.38
  217    0.03104587    0.00021907    0.00385783    2.40
  218    0.03082940    0.00021647    0.00383616    2.38
  219    0.03061548    0.00021392    0.00381478    2.40
  220    0.03040405    0.00021143    0.00379368    2.32
  221    0.03019507    0.00020898    0.00377289    2.40
  222    0.02998848    0.00020659    0.00375239    2.28
  223    0.02978424    0.00020424    0.00373216    2.38
  224    0.02958230    0.00020194    0.00371219    2.33
  225    0.02938261    0.00019969    0.00369248    2.42
  226    0.02918514    0.00019748    0.00367302    2.44
  227    0.02898983    0.00019531    0.00365383    2.41
  228    0.02879665    0.00019318    0.00363490    2.38
