JT_ss_b,JT_ss_m,var_X,var_N,lambda_a
0.8184228178114654,0.8184228178114654,0.017460263324976966,5.202582435710831,100.0
0.8081286067510574,0.8081286067510574,0.05423722941737319,5.766146259627682,100.0
0.8241413218670008,0.8241413218670008,0.1372813394291713,6.199427411204674,100.0
0.7679824546154792,0.7679824546154792,0.06701985995577309,5.2770222676519225,100.0
0.7380165945229968,0.7380165945229968,0.1666842739564125,4.7758886501873725,100.0
0.7456964241284962,0.7456964241284962,0.19399442473964856,4.334895662997262,100.0
0.7314176498792822,0.7314176498792822,0.26169143472322376,3.3243690033458293,100.0
0.7099482087581801,0.7099482087581801,0.19841103399964155,3.084748363430265,100.0
0.6873838704743817,0.6873838704743817,0.19136882821246215,2.372389865596915,100.0
0.6717657761409678,0.6717657761409678,0.2470463935660807,1.8545121679597187,100.0
0.6533522691027116,0.6533522691027116,0.26009657447661405,1.6962303863115906,100.0
0.654811443298605,0.654811443298605,0.2742075466957289,1.6219805632479165,100.0
0.6529546783405966,0.6529546783405966,0.26305348032039455,1.5420619941615925,100.0
0.6376060849018506,0.6376060849018506,0.26470899081172616,1.537176604032389,100.0
0.6464812796826573,0.6464812796826573,0.22422407177797699,1.485667639051833,100.0
0.6380068545211386,0.6380068545211386,0.2275934658784825,1.4886516470717766,100.0
0.5886663318381109,0.5886663318381109,0.2639366554855579,1.8424022429433577,100.0
0.6121123650906507,0.6121123650906507,0.2186400447868605,1.6811190309534538,100.0
0.6335061900493795,0.6335061900493795,0.21686932181527474,1.4412091289247826,100.0
0.610475253930368,0.610475253930368,0.146602285671264,1.7153405892720954,100.0
0.6306145529438254,0.6306145529438254,0.1452814716862435,1.6753935921798657,100.0
0.6120585608927811,0.6120585608927811,0.12078823217891876,1.6685421707639847,100.0
0.6345317541587974,0.6345317541587974,0.1316229690227767,1.6127212505525534,100.0
0.6233568921545789,0.6233568921545789,0.12849708452538733,1.5652219275083183,100.0
0.6040168404803785,0.6040168404803785,0.23399772527266127,1.9618471285394818,100.0
0.6116159013501701,0.6116159013501701,0.21864626437272283,1.885534252035626,100.0
0.5882202737603437,0.5882202737603437,0.30099476806206305,2.2884019042309944,100.0
0.5603810185481873,0.5603810185481873,0.223056296283912,1.8759464499167215,100.0
0.5740170606399779,0.5740170606399779,0.22546472847667764,1.9513701172881568,100.0
0.5873732944907124,0.5873732944907124,0.2714885523069682,2.959792815160281,100.0
0.5377096702069767,0.5377096702069767,0.18624077375030768,1.7501050255052562,100.0
0.5198446319576074,0.5198446319576074,0.16186612686541613,1.6993380059649041,100.0
