#                  time                       real
 2.8125000000000001E-02     1.2477786743766088E-02
 8.4374999999999992E-02     3.6740040624677610E-02
 1.4062500000000000E-01     6.0078092513012195E-02
 1.9687499999999999E-01     8.2485702806245551E-02
 2.5312499999999999E-01     1.0395295941931564E-01
 3.0937500000000001E-01     1.2447135839226009E-01
 3.6562499999999998E-01     1.4403915792781108E-01
 4.2187499999999994E-01     1.6266620114834066E-01
 4.7812499999999997E-01     1.8037745506385278E-01
 5.3437499999999993E-01     1.9721466826368905E-01
 5.9062499999999996E-01     2.1323579071504306E-01
 6.4687499999999987E-01     2.2851209702827491E-01
 7.0312499999999989E-01     2.4312327141597873E-01
 7.5937499999999991E-01     2.5715100477195540E-01
 8.1562499999999982E-01     2.7067187885853655E-01
 8.7187499999999984E-01     2.8375043411379702E-01
 9.2812499999999987E-01     2.9643331485425756E-01
 9.8437499999999989E-01     3.0874525619269261E-01
 1.0406249999999999E+00     3.2061594147083428E-01
 1.0968749999999998E+00     3.3185168360056422E-01
 1.1531250000000000E+00     3.4245193128543083E-01
 1.2093749999999999E+00     3.5242699438355529E-01
 1.2656249999999998E+00     3.6178705561728364E-01
 1.3218749999999999E+00     3.7054215219808928E-01
 1.3781249999999998E+00     3.7870215882682368E-01
 1.4343749999999997E+00     3.8627677255740422E-01
 1.4906249999999999E+00     3.9327549998696554E-01
 1.5468749999999998E+00     3.9970764719594809E-01
 1.6031249999999997E+00     4.0558231280805779E-01
 1.6593749999999998E+00     4.1090838447364941E-01
 1.7156249999999997E+00     4.1569453900224973E-01
 1.7718749999999999E+00     4.1994924628294272E-01
 1.8281249999999998E+00     4.2368077703767804E-01
 1.8843749999999997E+00     4.2689721435502659E-01
 1.9406249999999998E+00     4.2960646885378262E-01
 1.9968749999999997E+00     4.3181629723022186E-01
 2.0531250000000001E+00     4.3353432385291130E-01
 2.1093750000000000E+00     4.3476806498800569E-01
 2.1656249999999999E+00     4.3552495516838197E-01
 2.2218749999999998E+00     4.3581237516439814E-01
 2.2781250000000002E+00     4.3563768097414513E-01
 2.3343750000000001E+00     4.3500823322819460E-01
 2.3906250000000000E+00     4.3393142639853199E-01
 2.4468749999999999E+00     4.3241471721365871E-01
 2.5031249999999998E+00     4.3046565171105450E-01
 2.5593749999999997E+00     4.2809189040298051E-01
 2.6156250000000001E+00     4.2530123109020307E-01
 2.6718750000000000E+00     4.2210162892833547E-01
 2.7281249999999999E+00     4.1850121343040592E-01
 2.7843749999999998E+00     4.1450830217425993E-01
 2.8406249999999997E+00     4.1013141107136503E-01
 2.8968750000000001E+00     4.0537926114162998E-01
 2.9531250000000000E+00     4.0026078182418934E-01
 3.0093749999999999E+00     3.9478511093406704E-01
 3.0656249999999998E+00     3.8896159144713693E-01
 3.1218749999999997E+00     3.8279976535887189E-01
 3.1781249999999996E+00     3.7630936491476497E-01
 3.2343750000000000E+00     3.6950030155103497E-01
 3.2906249999999999E+00     3.6238265291291943E-01
 3.3468749999999998E+00     3.5496664833456643E-01
 3.4031249999999997E+00     3.4726265316964400E-01
 3.4593749999999996E+00     3.3928115235622569E-01
 3.5156250000000000E+00     3.3103273358426050E-01
 3.5718749999999999E+00     3.2252807041048681E-01
 3.6281249999999998E+00     3.1377790563535052E-01
 3.6843749999999997E+00     3.0479303522103235E-01
 3.7406249999999996E+00     2.9558429299058747E-01
 3.7968750000000000E+00     2.8616253630700073E-01
 3.8531249999999999E+00     2.7653863288911745E-01
 3.9093749999999998E+00     2.6672344888016669E-01
 3.9656249999999997E+00     2.5672783824512113E-01
 4.0218749999999996E+00     2.4656263353630078E-01
 4.0781250000000000E+00     2.3623863803319028E-01
 4.1343749999999995E+00     2.2576661923291186E-01
 4.1906249999999998E+00     2.1515730364249624E-01
 4.2468750000000002E+00     2.0442137280320075E-01
 4.3031249999999996E+00     1.9356946046061929E-01
 4.3593750000000000E+00     1.8261215078207238E-01
 4.4156249999999995E+00     1.7155997751452601E-01
 4.4718749999999998E+00     1.6042342397171491E-01
 4.5281250000000002E+00     1.4921292373784195E-01
 4.5843749999999996E+00     1.3793886197678679E-01
 4.6406250000000000E+00     1.2661157723965449E-01
 4.6968749999999995E+00     1.1524136366935905E-01
 4.7531249999999998E+00     1.0383847350824561E-01
 4.8093749999999993E+00     9.2413119823102588E-02
 4.8656249999999996E+00     8.0975479370937825E-02
 4.9218750000000000E+00     6.9535695538176248E-02
 4.9781249999999995E+00     5.8103881295219116E-02
 5.0343749999999998E+00     4.6690122117269223E-02
 5.0906249999999993E+00     3.5304478830783720E-02
 5.1468749999999996E+00     2.3956990352650084E-02
 5.2031250000000000E+00     1.2657676296056724E-02
 5.2593749999999995E+00     1.4165394229594603E-03
 5.3156249999999998E+00    -9.7564320720807465E-03
 5.3718749999999993E+00    -2.0851262458074792E-02
 5.4281249999999996E+00    -3.1857986552452928E-02
 5.4843750000000000E+00    -4.2766648001520344E-02
 5.5406249999999995E+00    -5.3567297762767391E-02
 5.5968749999999998E+00    -6.4249992795498256E-02
 5.6531249999999993E+00    -7.4804794967287327E-02
 5.7093749999999996E+00    -8.5221770185532286E-02
 5.7656250000000000E+00    -9.5490987765681545E-02
 5.8218749999999995E+00    -1.0560252005044590E-01
 5.8781249999999998E+00    -1.1554644229724137E-01
 5.9343749999999993E+00    -1.2531283285408598E-01
 5.9906249999999996E+00    -1.3489177364697066E-01
 6.0468750000000000E+00    -1.4427335100409208E-01
 6.1031249999999995E+00    -1.5344765684411019E-01
 6.1593749999999998E+00    -1.6240479025645685E-01
 6.2156249999999993E+00    -1.7113485950151794E-01
 6.2718749999999996E+00    -1.7962798445701192E-01
 6.3281249999999991E+00    -1.8787429953383261E-01
 6.3843749999999995E+00    -1.9586395707997359E-01
 6.4406249999999998E+00    -2.0358713128462569E-01
 6.4968749999999993E+00    -2.1103402258621795E-01
 6.5531249999999996E+00    -2.1819486257790280E-01
 6.6093749999999991E+00    -2.2505991939192282E-01
 6.6656249999999995E+00    -2.3161950353052985E-01
 6.7218749999999998E+00    -2.3786397409585203E-01
 6.7781249999999993E+00    -2.4378374535471004E-01
 6.8343749999999996E+00    -2.4936929355714621E-01
 6.8906249999999991E+00    -2.5461116390993316E-01
 6.9468749999999995E+00    -2.5949997758908477E-01
 7.0031249999999998E+00    -2.6402643865898334E-01
 7.0593749999999993E+00    -2.6818134075093375E-01
 7.1156249999999996E+00    -2.7195557334131049E-01
 7.1718749999999991E+00    -2.7534012745979791E-01
 7.2281249999999995E+00    -2.7832610065211949E-01
 7.2843749999999998E+00    -2.8090470101970583E-01
 7.3406249999999993E+00    -2.8306725016155515E-01
 7.3968749999999996E+00    -2.8480518485134776E-01
 7.4531249999999991E+00    -2.8611005729605032E-01
 7.5093749999999995E+00    -2.8697353384076807E-01
 7.5656249999999998E+00    -2.8738739200834462E-01
 7.6218749999999993E+00    -2.8734351579090894E-01
 7.6781249999999996E+00    -2.8683388914357527E-01
 7.7343749999999991E+00    -2.8585058766718907E-01
 7.7906249999999995E+00    -2.8438576850642694E-01
 7.8468749999999998E+00    -2.8243165853059521E-01
 7.9031249999999993E+00    -2.7998054090608060E-01
 7.9593749999999996E+00    -2.7702474021019202E-01
 8.0156249999999982E+00    -2.7355660627494915E-01
 8.0718749999999986E+00    -2.6956849698489549E-01
 8.1281249999999989E+00    -2.6505276028412494E-01
 8.1843749999999993E+00    -2.6000171609204525E-01
 8.2406249999999979E+00    -2.5441272957010752E-01
 8.2968749999999982E+00    -2.4830087848292001E-01
 8.3531249999999986E+00    -2.4168503404290775E-01
 8.4093749999999989E+00    -2.3458396646997320E-01
 8.4656249999999993E+00    -2.2701632958852236E-01
 8.5218749999999979E+00    -2.1900064733301322E-01
 8.5781249999999982E+00    -2.1055530233830702E-01
 8.6343749999999986E+00    -2.0169852673982819E-01
 8.6906249999999989E+00    -1.9244839525710167E-01
 8.7468749999999993E+00    -1.8282282058424210E-01
 8.8031249999999979E+00    -1.7283955106380730E-01
 8.8593749999999982E+00    -1.6251617057729476E-01
 8.9156249999999986E+00    -1.5187010054736383E-01
 8.9718749999999989E+00    -1.4091860391418987E-01
 9.0281249999999993E+00    -1.2967879092170134E-01
 9.0843749999999979E+00    -1.1816762652876937E-01
 9.1406249999999982E+00    -1.0640193924574987E-01
 9.1968749999999986E+00    -9.4398431187730253E-02
 9.2531249999999989E+00    -8.2173689131926964E-02
 9.3093749999999975E+00    -6.9744196367399064E-02
 9.3656249999999979E+00    -5.7126345129783207E-02
 9.4218749999999982E+00    -4.4336449421505011E-02
 9.4781249999999986E+00    -3.1390758028008517E-02
 9.5343749999999989E+00    -1.8305467552355310E-02
 9.5906249999999975E+00    -5.0967353032726360E-03
 9.6468749999999979E+00     8.2193081151575205E-03
 9.7031249999999982E+00     2.1626546651082670E-02
 9.7593749999999986E+00     3.5108867216402696E-02
 9.8156249999999989E+00     4.8650148777612250E-02
 9.8718749999999975E+00     6.2234252231273442E-02
 9.9281249999999979E+00     7.5845011160686357E-02
