# n_row: 16 n_col: 16
# row  col                       real
    0    1     1.0000000000000000E+00
    1    0     1.0000000000000000E+00
    2    3     1.0000000000000000E+00
    3    2     1.0000000000000000E+00
    4    5     1.0000000000000000E+00
    5    4     1.0000000000000000E+00
    6    7     1.0000000000000000E+00
    7    6     1.0000000000000000E+00
    8    9     1.0000000000000000E+00
    9    8     1.0000000000000000E+00
   10   11     1.0000000000000000E+00
   11   10     1.0000000000000000E+00
   12   13     1.0000000000000000E+00
   13   12     1.0000000000000000E+00
   14   15     1.0000000000000000E+00
   15   14     1.0000000000000000E+00
