#                  time                       real
 1.2506250000000002E-02    -3.1312971760951058E-03
 3.7518750000000003E-02    -9.9625110026752110E-03
 6.2531249999999997E-02    -1.7558461960787319E-02
 8.7543750000000004E-02    -2.5941799194234977E-02
 1.1255625000000000E-01    -3.5147518135490163E-02
 1.3756874999999999E-01    -4.5216663051593095E-02
 1.6258125000000001E-01    -5.6188539256590321E-02
 1.8759375000000000E-01    -6.8091403043511745E-02
 2.1260625000000000E-01    -8.0931711459892156E-02
 2.3761874999999999E-01    -9.4682175426065635E-02
 2.6263124999999998E-01    -1.0926907255959642E-01
 2.8764374999999998E-01    -1.2455953734264665E-01
 3.1265625000000002E-01    -1.4034984123331917E-01
 3.3766875000000002E-01    -1.5635597343941529E-01
 3.6268125000000001E-01    -1.7220808536047877E-01
 3.8769375000000000E-01    -1.8745050147477210E-01
 4.1270625000000000E-01    -2.0154894849395308E-01
 4.3771874999999999E-01    -2.1390633639335849E-01
 4.6273124999999998E-01    -2.2388778492344341E-01
 4.8774374999999998E-01    -2.3085461989180961E-01
 5.1275625000000002E-01    -2.3420582802558831E-01
 5.3776875000000002E-01    -2.3342410486709753E-01
 5.6278125000000001E-01    -2.2812238181552569E-01
 5.8779375000000000E-01    -2.1808584568524672E-01
 6.1280625000000011E-01    -2.0330422338101961E-01
 6.3781875000000010E-01    -1.8398966774196643E-01
 6.6283125000000009E-01    -1.6057697326205189E-01
 6.8784375000000009E-01    -1.3370491756062194E-01
 7.1285625000000008E-01    -1.0417994598635238E-01
 7.3786875000000007E-01    -7.2925769081820899E-02
 7.6288125000000007E-01    -4.0924293946706096E-02
 7.8789375000000006E-01    -9.1543219921767782E-03
 8.1290625000000005E-01     2.1465549545010131E-02
 8.3791875000000005E-01     5.0124346258704038E-02
 8.6293125000000004E-01     7.6152676656066037E-02
 8.8794375000000003E-01     9.9041531399795699E-02
 9.1295625000000002E-01     1.1844628078739419E-01
 9.3796875000000002E-01     1.3417793401736872E-01
 9.6298125000000001E-01     1.4618484880496344E-01
 9.8799375000000000E-01     1.5452855038022906E-01
 1.0130062499999999E+00     1.5959720614223138E-01
 1.0380187500000000E+00     1.6295312728914998E-01
 1.0630312499999999E+00     1.6501653689133705E-01
 1.0880437500000000E+00     1.6596311267271519E-01
 1.1130562499999999E+00     1.6594036155631678E-01
 1.1380687500000000E+00     1.6507246338929316E-01
 1.1630812499999998E+00     1.6346435545133517E-01
 1.1880937499999999E+00     1.6120515870156782E-01
 1.2131062500000001E+00     1.5837103837326533E-01
 1.2381187499999999E+00     1.5502758196471614E-01
 1.2631312500000000E+00     1.5123176786557807E-01
 1.2881437499999999E+00     1.4703358838396907E-01
