#                  time                       real
 3.1268749999999998E-02    -8.3201416179062700E-06
 9.3806249999999994E-02     2.1158962178289683E-03
 1.5634375000000000E-01     7.3676619836058055E-03
 2.1888124999999997E-01     1.6235214415343320E-02
 2.8141875000000000E-01     2.9112139930465908E-02
 3.4395625000000002E-01     4.5918809194103995E-02
 4.0649374999999999E-01     6.5743846195494685E-02
 4.6903124999999996E-01     8.6680889435165040E-02
 5.3156874999999992E-01     1.0606010483745890E-01
 5.9410624999999995E-01     1.2114989908581066E-01
 6.5664374999999997E-01     1.3010697108764116E-01
 7.1918124999999988E-01     1.3266028358016485E-01
 7.8171874999999991E-01     1.3005224510718064E-01
 8.4425624999999993E-01     1.2424146127297785E-01
 9.0679374999999984E-01     1.1691509657344665E-01
 9.6933124999999987E-01     1.0893326196866694E-01
 1.0318687499999999E+00     1.0082491882362093E-01
 1.0944062499999998E+00     9.4540521956936879E-02
 1.1569437499999999E+00     8.9667007336638724E-02
 1.2194812499999999E+00     8.5671059211694087E-02
 1.2820187500000000E+00     8.2222323050736137E-02
 1.3445562499999999E+00     7.9116303756940592E-02
 1.4070937499999998E+00     7.6225538140648461E-02
 1.4696312499999999E+00     7.3469510958932754E-02
 1.5321687499999999E+00     7.0796362075894223E-02
 1.5947062499999998E+00     6.8171817941241941E-02
 1.6572437499999999E+00     6.5572492356162138E-02
 1.7197812499999998E+00     6.2981816699072601E-02
 1.7823187499999997E+00     6.0387553222328895E-02
 1.8448562499999999E+00     5.7780265698504869E-02
 1.9073937499999998E+00     5.5152373538543908E-02
 1.9699312499999999E+00     5.2497565310147938E-02
 2.0324687500000000E+00     4.9810436521205148E-02
 2.0950062500000000E+00     4.7086269402628222E-02
 2.1575437499999999E+00     4.4320903982590511E-02
 2.2200812500000002E+00     4.1510668702284509E-02
 2.2826187500000001E+00     3.8652350314438082E-02
 2.3451562500000001E+00     3.5743189850090666E-02
 2.4076937500000000E+00     3.2780895819584377E-02
 2.4702312499999999E+00     2.9763668586770868E-02
 2.5327687500000002E+00     2.6690231653071099E-02
 2.5953062500000001E+00     2.3559866789411965E-02
 2.6578437500000001E+00     2.0372450791873602E-02
 2.7203812500000000E+00     1.7128492252565689E-02
 2.7829187499999999E+00     1.3829167219758879E-02
 2.8454562499999998E+00     1.0476353023470877E-02
 2.9079937500000002E+00     7.0726598964488624E-03
 2.9705312500000001E+00     3.6214603417766638E-03
 3.0330687500000000E+00     1.2691649087910497E-04
 3.0956062499999999E+00    -3.4059940444571384E-03
 3.1581437499999998E+00    -6.9714531091711832E-03
 3.2206812500000002E+00    -1.0562776866942288E-02
 3.2832187500000001E+00    -1.4172389669908747E-02
 3.3457562500000000E+00    -1.7791792592999206E-02
 3.4082937499999999E+00    -2.1410349622419576E-02
 3.4708312499999998E+00    -2.5013583358747489E-02
 3.5333687499999997E+00    -2.8585830408455914E-02
 3.5959062500000001E+00    -3.2110960585872921E-02
 3.6584437500000000E+00    -3.5572618372348055E-02
 3.7209812499999999E+00    -3.8954431283109714E-02
 3.7835187499999998E+00    -4.2240205189599034E-02
 3.8460562499999997E+00    -4.5414119380512381E-02
 3.9085937500000001E+00    -4.8460930229897878E-02
 3.9711312500000000E+00    -5.1366189531047116E-02
 4.0336687499999995E+00    -5.4116480948426547E-02
 4.0962062499999998E+00    -5.6699675279105931E-02
 4.1587437499999993E+00    -5.9105202194104450E-02
 4.2212812499999997E+00    -6.1324332881516987E-02
 4.2838187499999991E+00    -6.3350464663486566E-02
 4.3463562499999995E+00    -6.5179395405160240E-02
 4.4088937499999998E+00    -6.6809572627566954E-02
 4.4714312499999993E+00    -6.8242299967564160E-02
 4.5339687499999997E+00    -6.9481882300050882E-02
 4.5965062499999991E+00    -7.0535690740957072E-02
 4.6590437499999995E+00    -7.1414130126161351E-02
 4.7215812499999998E+00    -7.2130494568723350E-02
 4.7841187499999993E+00    -7.2700701373891133E-02
 4.8466562499999997E+00    -7.3142899827908781E-02
 4.9091937499999991E+00    -7.3476958901184830E-02
 4.9717312499999995E+00    -7.3723846285818920E-02
 5.0342687499999998E+00    -7.3905343718196875E-02
 5.0968062499999993E+00    -7.4052601779712582E-02
 5.1593437499999997E+00    -7.4205282452046384E-02
 5.2218812499999991E+00    -7.4401369255052974E-02
