#                  time                       real
 3.1268749999999998E-02    -2.5473402515148922E-03
 9.3806249999999994E-02    -5.9117175423556824E-03
 1.5634375000000000E-01    -6.6767069252769377E-03
 2.1888124999999997E-01    -4.3750217418943218E-03
 2.8141875000000000E-01     1.4055079538901130E-03
 3.4395625000000002E-01     1.0718691646641635E-02
 4.0649374999999999E-01     2.2922774785433704E-02
 4.6903124999999996E-01     3.6472605993499913E-02
 5.3156874999999992E-01     4.9062215328578407E-02
 5.9410624999999995E-01     5.8242722415802341E-02
 6.5664374999999997E-01     6.2332483352364250E-02
 7.1918124999999988E-01     6.1098516787454808E-02
 7.8171874999999991E-01     5.5711086045682194E-02
 8.4425624999999993E-01     4.8002115378234025E-02
 9.0679374999999984E-01     3.9611009097527489E-02
 9.6933124999999987E-01     3.1565272081126333E-02
 1.0318687499999999E+00     2.4539346511941833E-02
 1.0944062499999998E+00     1.9555832432006717E-02
 1.1569437499999999E+00     1.6095949523872496E-02
 1.2194812499999999E+00     1.3685652741292145E-02
 1.2820187500000000E+00     1.2032456289129283E-02
 1.3445562499999999E+00     1.0946952929376374E-02
 1.4070937499999998E+00     1.0300560782621150E-02
 1.4696312499999999E+00     1.0001762092661874E-02
 1.5321687499999999E+00     9.9822516815184191E-03
 1.5947062499999998E+00     1.0188609788984778E-02
 1.6572437499999999E+00     1.0577155843146276E-02
 1.7197812499999998E+00     1.1110685173723996E-02
 1.7823187499999997E+00     1.1756348604834271E-02
 1.8448562499999999E+00     1.2484242488147709E-02
 1.9073937499999998E+00     1.3266450833319137E-02
 1.9699312499999999E+00     1.4076381894058392E-02
 2.0324687500000000E+00     1.4888300966814686E-02
 2.0950062500000000E+00     1.5676996857130771E-02
 2.1575437499999999E+00     1.6417541331361082E-02
 2.2200812500000002E+00     1.7085114524165473E-02
 2.2826187500000001E+00     1.7654877972716664E-02
 2.3451562500000001E+00     1.8101882610134210E-02
 2.4076937500000000E+00     1.8401002813086542E-02
 2.4702312499999999E+00     1.8526890150741014E-02
 2.5327687500000002E+00     1.8453942247340923E-02
 2.5953062500000001E+00     1.8156283412707443E-02
 2.6578437500000001E+00     1.7607754581920269E-02
 2.7203812500000000E+00     1.6781910746043131E-02
 2.7829187499999999E+00     1.5652024522204076E-02
 2.8454562499999998E+00     1.4191094852533004E-02
 2.9079937500000002E+00     1.2371860071038243E-02
 2.9705312500000001E+00     1.0166814760049114E-02
 3.0330687500000000E+00     7.5482299508790674E-03
 3.0956062499999999E+00     4.4881763205512123E-03
 3.1581437499999998E+00     9.5855010830358698E-04
 3.2206812500000002E+00    -3.0688984693217616E-03
 3.2832187500000001E+00    -7.6225344805210512E-03
 3.3457562500000000E+00    -1.2730736083526997E-02
 3.4082937499999999E+00    -1.8398446918384107E-02
 3.4708312499999998E+00    -2.4573055898329907E-02
 3.5333687499999997E+00    -3.1193245415754377E-02
 3.5959062500000001E+00    -3.8197578613944259E-02
 3.6584437500000000E+00    -4.5524421786798872E-02
 3.7209812499999999E+00    -5.3111868946533143E-02
 3.7835187499999998E+00    -6.0897672499202714E-02
 3.8460562499999997E+00    -6.8819181710740737E-02
 3.9085937500000001E+00    -7.6813289782615618E-02
 3.9711312500000000E+00    -8.4816390043843226E-02
 4.0336687499999995E+00    -9.2764341690646929E-02
 4.0962062499999998E+00    -1.0059244553570837E-01
 4.1587437499999993E+00    -1.0823543029868560E-01
 4.2212812499999997E+00    -1.1562745003449833E-01
 4.2838187499999991E+00    -1.2270209332052104E-01
 4.3463562499999995E+00    -1.2939240477878883E-01
 4.4088937499999998E+00    -1.3563091937158361E-01
 4.4714312499999993E+00    -1.4134970966387955E-01
 4.5339687499999997E+00    -1.4648044589090420E-01
 4.5965062499999991E+00    -1.5095446821363617E-01
 4.6590437499999995E+00    -1.5470287001333893E-01
 4.7215812499999998E+00    -1.5765659050466033E-01
 4.7841187499999993E+00    -1.5974651438207912E-01
 4.8466562499999997E+00    -1.6090357570836034E-01
 4.9091937499999991E+00    -1.6105886285838514E-01
 4.9717312499999995E+00    -1.6014372109524813E-01
 5.0342687499999998E+00    -1.5809200484089531E-01
 5.0968062499999993E+00    -1.5488758658798535E-01
 5.1593437499999997E+00    -1.5056442631372907E-01
 5.2218812499999991E+00    -1.4515920107742583E-01
