T,JT
20.0,0.03185720264781
20.1,0.02774642123746
20.2,0.02271526145411
20.4,0.01783146726279
20.5,0.01716272698004
20.6,0.01769503363175
20.7,0.01905125840781
20.75,0.02025220108751
20.85,0.02217302897927
20.95,0.02466490417978
21.05,0.02738157532363
21.15,0.0330421060855
21.25,0.04330767468789
22.0,0.1064172299725
23.0,0.2443433949434
24.0,0.4242339369174
24.3,0.4806352201627
25.0,0.3901677288277
26.0,0.2131261893299
27.0,0.08001532796318
28.0,0.00978253448994
29.0,0.009810958144797
30.0,0.08298597306775
31.0,0.2175209644894
32.0,0.3936382360587
32.7,0.472718624239
33.0,0.4146050320832
33.7,0.2862031979825
34.0,0.2354148965638
35.0,0.09515494989893
36.0,0.0144704988798
37.0,0.009475164117336
38.0,0.06880699593254
39.0,0.1958319686896
40.0,0.367617210798
40.7,0.4996562403122
41.0,0.4411165895645
42.0,0.2585154377049
43.0,0.1114502926745
44.0,0.02156493181734
44.2,0.01178714977252
45.0,0.0086933315102
45.2,0.009225617203038
45.5,0.02006088784356
46.0,0.05586980777433
47.0,0.1750101886022
48.0,0.341978385286
49.0,0.4677995641026
50.0,0.2823228203082
