T,JT
20.0,0.334932432835
21.0,0.3967166759645
22.0,0.4522942326063
23.0,0.4891987844972
24.0,0.4219487014452
25.0,0.3510129261073
26.0,0.2844129060054
27.0,0.2241490348922
28.0,0.1694057998583
29.0,0.120946236783
30.0,0.07969546497087
31.0,0.04643634607539
32.0,0.0218012516867
33.0,0.009486019097845
34.0,0.009192232804966
35.0,0.009397623568214
36.0,0.01624580239178
37.0,0.03823544878621
38.0,0.06900506817543
39.0,0.1079696011065
40.0,0.1543826509032
41.0,0.2073781567435
42.0,0.2659320581543
43.0,0.3289293248243
44.0,0.395193531687
45.0,0.4634448307106
45.5,0.4989467942494
46.0,0.4676193628326
47.0,0.3992826710079
48.0,0.3328758138622
49.0,0.2696391860295
50.0,0.2107763978025
