T,JT
20.0,0.1220028782268
21.0,0.0609842991166
22.0,0.01435094238127
23.0,0.00976040450211
24.0,0.009785534165153
25.0,0.03735656291159
26.0,0.08499090612096
27.0,0.1500892909848
28.0,0.2296880603087
29.0,0.3205082794411
30.0,0.4188021800355
31.0,0.4812463839532
32.0,0.3788043873066
33.0,0.2830534660764
34.0,0.1962918475305
35.0,0.1221199444833
36.0,0.06361725516499
37.0,0.02322351721134
38.0,0.008804183135702
39.0,0.009178074485134
40.0,0.02322793432463
41.0,0.06363556505152
42.0,0.1221295338525
43.0,0.1963095459889
44.0,0.2830666500999
45.0,0.3788333948946
46.0,0.4796354633798
47.0,0.4187596665047
48.0,0.3204844941518
49.0,0.2296688187225
50.0,0.1500582950195
