JT_ss_b,JT_ss_m,var_X,var_N
0.7810412461242093,0.7238653974786495,0.03937206090486678,0.6209491931160529
0.782346267433802,0.7137812271492427,0.05421604063940333,0.20836802005204458
0.7927580462979104,0.6686664826593214,0.03661626880426461,0.15224710675392483
0.9959542415533907,0.6000813524176797,0.20734993314223982,0.12445023313724723
0.9995943970121048,0.585572592811024,0.17683042322789766,0.05806373446495883
0.9856902469852823,0.5600105799069206,0.570567564426691,0.09374842207075229
0.8713108261097595,0.6602598354515119,0.08897712896919086,0.5135008073202609
0.7811498482270054,0.7272391489091542,0.03525509004393379,0.62390615177025
0.9640233609756742,0.5081435023232173,0.08717285301668376,0.1314905497981238
0.9965457735232393,0.48141996337691606,0.15770064319672905,0.05290952274505312
0.9929745516644697,0.4367070844865,0.050702752225048275,0.06138229863441147
0.9994461615437518,0.436264324076286,0.03427347513010326,0.040435849048432004
0.9987542578385159,0.39508255205481546,0.09604378610677466,0.027003788226847014
0.9970088172730303,0.377834202908474,0.0837976382173079,0.026146446277301116
0.9992875543240773,0.36872727369567926,0.07696705521081315,0.019819670855813598
0.995904395687016,0.36843916237394114,0.08119692991283156,0.02751059195664496
0.9942959855951599,0.3536780862861103,0.06102364020398421,0.0315099580789715
0.9992979398924913,0.3179310521491112,0.03429935004678519,0.02125246085800825
0.9936298802883983,0.29173476897328643,0.026597249004871037,0.0369297415313552
0.998174496919571,0.2679837238984578,0.26746240862475046,0.023136779843587085
0.9996994230033435,0.24533646906860263,0.07897910156609866,0.02080837808061009
0.9701118779398625,0.2599396547829178,0.19254694907498304,0.06986482319339338
0.7287702594170645,0.3793688287227188,0.20049161069864185,0.3802960936645414
0.9950750405716378,0.3072503959131071,0.8234935297315242,0.03583287773675359
0.9923115531500004,0.19590277319898586,0.16986512598854753,0.025958324977361613
0.9457409593205448,0.19367826835287139,0.3129220646902158,0.10477980266189846
0.9925996316669491,0.17080729604326306,0.09218610159688034,0.025829069977230112
0.9619628869522125,0.1736686311962401,0.14304309416723704,0.0784517378553522
0.9919382660192838,0.20695955239742658,0.6390479469075304,0.019310771115945258
0.9915873928396929,0.15601642760671042,0.15824029438022347,0.023596300280203764
0.9985156116029389,0.18241981063812296,0.1987336884444616,0.019140625206624406
0.9985044790588766,0.16410516251323148,0.048778089375321465,0.014613046673161989
0.9445292832586234,0.15514514348800035,0.1222551624863295,0.10436023993229959
0.9984135493384704,0.1502306606987086,0.06878047491530881,0.013948170822965622
0.9924995470605161,0.137263565805536,0.06013359544566488,0.02350596732502197
0.9977108489296573,0.16430866722036197,0.032143351956633204,0.016022272255248104
0.9907770925108955,0.10427420012305477,0.27518650485857665,0.021982742183080717
0.9954222027256499,0.1393859606595934,0.10306734017654395,0.018437700237832644
0.9960232109895164,0.13195893727450014,0.055087603454563316,0.016617987909053333
0.9906406458310646,0.09256224356481468,0.17021140419020087,0.022434863411062267
0.9894364079958523,0.08763862734711658,0.1611543378395558,0.023716977163468655
0.956376632901348,0.1439798475131292,0.12786951521062484,0.08748420427694903
0.9987603828504411,0.11960641663866267,0.06965955316452876,0.01139063857544631
0.9974396556697641,0.16372825775555533,0.035872844352343725,0.016945561201676895
0.9909177436759593,0.11177541827264814,0.12855016500362237,0.022887554620412587
0.998512071672122,0.08035649292145652,0.16391147845018095,0.007491385784985205
0.9961531674704135,0.10742192518796678,0.131022078677818,0.013884110495382629
0.9932422810815675,0.10862663189842581,0.12417967286359144,0.018288582257627084
0.9920443173711161,0.0893512553731367,0.11547541838974518,0.019083514970310134
0.9793359193324543,0.10081533339435467,0.09296888490130228,0.04309208614825
0.9399536216499271,0.11765246028412002,0.17999892250069893,0.09891436747856996
0.7587969863091638,0.28405171976068644,0.10312192671199072,0.3170898025074882
0.9677388355808096,0.09494918941529751,0.18672756017644843,0.05971400308380037
