T,JT
20.75,0.03623397756663
20.76,0.04813982379459
20.77,0.06873934453384
20.78,0.09335478496094
20.79,0.1267556531671
20.8,0.1588379110582
20.81,0.191343003499
20.82,0.2345532865312
20.83,0.2779317898874
20.84,0.3211337152177
20.85,0.3641622298568
20.86,0.4071892675655
20.87,0.4606480491834
20.88,0.49949015115
20.89,0.4621965883632
20.9,0.4162739591693
20.91,0.3734982073694
20.92,0.3243058696307
20.93,0.2828501509288
20.94,0.2437046789535
20.95,0.1929612970377
20.96,0.1606353718066
20.97,0.1352607100544
20.98,0.09668894602914
20.99,0.07335836626455
21.0,0.04902407588938
21.01,0.03034264987951
21.02,0.01714266668403
21.03,0.009798764003175
21.04,0.01044670086062
21.05,0.01189554966854
21.06,0.01886080326839
21.07,0.03640960506948
21.08,0.05193496190299
21.09,0.07425266714215
21.1,0.1008325578485
21.11,0.1307674218464
21.12,0.1693270177026
21.13,0.2101360749395
21.14,0.2505977580229
21.15,0.292384765199
21.16,0.3306076714677
21.17,0.378630474429
21.18,0.4311902928754
21.19,0.4747125776369
21.198,0.4994509633593
21.2,0.4946743802867
21.21,0.4474352529536
21.22,0.3962766887155
21.23,0.3449726017959
21.24,0.3053407172881
21.25,0.2625987428387
