T,JT
20.75,0.2902482487102
20.76,0.2467936447515
20.77,0.2084868130058
20.78,0.1682292799985
20.79,0.1338550595242
20.8,0.1089390649875
20.81,0.07762494602263
20.82,0.0531492156685
20.83,0.03770697935055
20.84,0.02421889456827
20.85,0.01566804833712
20.86,0.00979850569723
20.87,0.01572708246868
20.88,0.0227478475861
20.89,0.03556248770803
20.9,0.0485218452487
20.91,0.06900142341653
20.92,0.09631524387973
20.93,0.123862555541
20.94,0.1576067772942
20.95,0.1957442318056
20.96,0.2376068911838
20.97,0.2785820812448
20.98,0.318329373234
20.99,0.3703610819696
21.0,0.4148707740849
21.01,0.4631648985914
21.02,0.4998633865179
21.03,0.4629749105687
21.04,0.4181656614365
21.05,0.3695234484572
21.06,0.3220666997494
21.07,0.2807907737075
21.08,0.2399325664992
21.09,0.1991434897387
21.1,0.16041886437
21.11,0.1301446029857
21.12,0.09686736116152
21.13,0.07053540957713
21.14,0.04981702244098
21.15,0.03199399825582
21.16,0.01788495839223
21.17,0.01407800491594
21.18,0.009795719726532
21.19,0.009798136279646
21.2,0.01601244394638
21.21,0.03133989586309
21.22,0.04924926258512
21.23,0.07052159494633
21.24,0.09766490319847
21.25,0.1260654712162
