T,JT
20.75,0.4345175934195
20.76,0.3879295984807
20.77,0.3349929669012
20.78,0.2954345295933
20.79,0.2495657059673
20.8,0.2084611074852
20.81,0.1647295538645
20.82,0.1363344903623
20.83,0.1010320823678
20.84,0.07322769644286
20.85,0.04752981016182
20.86,0.03095182568632
20.87,0.02023603940804
20.88,0.01130239690533
20.89,0.009799906881563
20.9,0.01420475161288
20.91,0.02707360407504
20.92,0.04372017350778
20.93,0.06623373920844
20.94,0.0950559755277
20.95,0.127843277353
20.96,0.1555947413013
20.97,0.2006581939327
20.98,0.2435312635339
20.99,0.2853111326146
21.0,0.3366073561319
21.01,0.3795932694991
21.02,0.4294494347226
21.03,0.4753721116378
21.036,0.4999716010986
21.04,0.486228662335
21.05,0.4402130350673
21.06,0.3899501011664
21.07,0.3370648226977
21.08,0.2890931151894
21.09,0.2524957493445
21.1,0.2006298310577
21.11,0.1644633925065
21.12,0.1265483859282
21.13,0.0954150949815
21.14,0.07166699514402
21.15,0.04473424598603
21.16,0.0275072767994
21.17,0.01506885757464
21.18,0.01018282412255
21.19,0.009794072214436
21.2,0.01437797430281
21.21,0.02353248802606
21.22,0.04292376638648
21.23,0.06239244805952
21.24,0.08547611467172
21.25,0.1201743549248
