T,JT
20.75,0.2135869268014
20.76,0.2529845289468
20.77,0.2996041461065
20.78,0.3423257346818
20.79,0.3856061246554
20.8,0.4299587213525
20.81,0.4818860976884
20.816,0.4997506302994
20.82,0.4839140709961
20.83,0.4396816392505
20.84,0.3893109711754
20.85,0.3455283512305
20.86,0.3006485019457
20.87,0.2525576875358
20.88,0.2184014899863
20.89,0.1842141420552
20.9,0.1404236496153
20.91,0.1115872696359
20.92,0.07855213348211
20.93,0.05341407159983
20.94,0.03563177278803
20.95,0.0212993092272
20.96,0.009926228565709
20.97,0.009798674162853
20.98,0.01022767363732
20.99,0.01893799519397
21.0,0.03040614337602
21.01,0.05262193470657
21.02,0.07240244859277
21.03,0.1041876806818
21.04,0.1312742843541
21.05,0.1695371495556
21.06,0.2088807590318
21.07,0.2416541708328
21.08,0.2890943101101
21.09,0.338096278659
21.1,0.3827954488746
21.11,0.430484742677
21.12,0.4823959940253
21.128,0.4963822433011
21.13,0.488833528725
21.14,0.4459329292321
21.15,0.3893039753292
21.16,0.3494603815137
21.17,0.3004151405499
21.18,0.2569888917905
21.19,0.2151432702934
21.2,0.1747526046862
21.21,0.1411755936608
21.22,0.1085007382417
21.23,0.08160337560304
21.24,0.0522661679232
21.25,0.03628333722599
