T,JT
20.75,0.1240043514979
20.76,0.07211100244292
20.77,0.03199915927688
20.78,0.01245320557481
20.79,0.01611063325051
20.8,0.04242833853923
20.81,0.08690745323944
20.82,0.1464386395759
20.83,0.223002650315
20.84,0.307620020408
20.85,0.4067822147301
20.86,0.4989226979933
20.87,0.4215525453724
20.88,0.3329120072496
20.89,0.2446618211388
20.9,0.1660333316737
20.91,0.09716122187142
20.92,0.04908472928718
20.93,0.01565915173436
20.94,0.01083318991135
20.95,0.02543209992233
20.96,0.05770151492778
20.97,0.1197741693758
20.98,0.1798480933913
20.99,0.259592243868
21.0,0.3548372535576
21.01,0.4480216217123
21.017,0.4995873630984
21.02,0.4755185665381
21.03,0.3748499857963
21.04,0.2882968331744
21.05,0.2051035990031
21.06,0.1375417098621
21.07,0.07194451628893
21.08,0.0294651488465
21.09,0.01049680807349
21.1,0.01056117297185
21.11,0.03606939012989
21.12,0.08189027284181
21.13,0.1365798416187
21.14,0.211318513669
21.15,0.2968806063261
21.16,0.3912130174025
21.17,0.4849591740435
21.18,0.4338673474564
21.19,0.3400127181018
21.2,0.2448968123419
21.21,0.1677664060767
21.22,0.09966289327154
21.23,0.04933304698834
21.24,0.01921480156568
21.25,0.009797467669666
