# n_row: 16
# col                       real                       imag
    0    -1.0605710098072960E-02     2.5329094271284136E-01
    1     1.3623871912314931E-02     1.1909055762476925E-01
    2    -2.0524665624483657E-01    -4.0778389364431067E-02
    3    -3.1783158004160311E-01     3.5628222736472523E-02
    4    -2.3401301604165349E-02    -3.9611549961564868E-01
    5    -3.7781660939422944E-02    -1.7874412357600561E-01
    6    -4.9333363796101919E-02     1.5768709317467766E-01
    7     6.2041947918648095E-03     2.4903277544301669E-01
    8     7.4508477757509906E-02     2.4336687003064122E-01
    9     1.1128255731302350E-01     9.0381168954219424E-02
   10    -1.6136907221786423E-01     3.4188080961682847E-02
   11    -3.3697486082054728E-01     2.1325358606304648E-01
   12    -1.8668002410428161E-01     2.5945359590845080E-01
   13    -3.7611549656840923E-02     2.0281383719898885E-01
   14     8.1636428257683274E-02    -7.9199405357410962E-02
   15     1.5787060040370832E-01    -2.0237967821355329E-01
